index,cid,iupacname,label,file_names
3558,6257297,(E)-3-(2-chloro-4-fluorophenyl)prop-2-enoic acid,(|E|)|-|3|-|(|2|-|chloro|-|4|-|fluoro|phen|yl|)|prop|-|2|-|en|oic acid,6257297.png
4317,19612224,(4-chlorophenyl)methyl hydrogen carbonate,(|4|-|chloro|phen|yl|)|meth|yl| |hydrogen| |carbonate,19612224.png
2428,10396805,2-methylhept-1-en-6-yne,2|-|meth|yl|hept|-|1|-|en|-|6|-|yne,10396805.png
6635,118444649,5-(sulfanylmethyl)-1-benzothiophene-2-carboxylic acid,5|-|(|s|ul|fan|yl|meth|yl|)|-|1|-|benzo|thio|phene|-|2|-|carboxylic acid,118444649.png
7480,140617333,"2-cyclohexa-2,4-dien-1-ylethyl hydrogen carbonate","2|-|cyclo|hex|a|-|2|,|4|-|di|en|-|1|-|yl|eth|yl| |hydrogen| |carbonate",140617333.png
8053,145427488,"ethyl 5-(4-hydroxyphenyl)-2,4-dioxopentanoate","eth|yl| |5|-|(|4|-|hydroxy|phen|yl|)|-|2|,|4|-|di|oxo|pent|an|oate",145427488.png
4506,20666521,"(1R,2R)-2-(3-methylphenyl)cyclopropane-1-carboxylic acid","(|1|R|,|2R|)|-|2|-|(|3|-|meth|yl|phen|yl|)|cyclo|prop|ane|-|1|-|carboxylic acid",20666521.png
6924,129910680,"3-(3,4-dihydro-2H-pyran-2-yl)propanoic acid","3|-|(|3|,|4|-|di|hydro|-|2H|-|pyran|-|2|-|yl|)|prop|an|oic acid",129910680.png
3323,1796494,"(E)-3-(2,3,4,5,6-pentafluorophenyl)prop-2-enoic acid","(|E|)|-|3|-|(|2|,|3|,|4|,|5|,|6|-|penta|fluoro|phen|yl|)|prop|-|2|-|en|oic acid",1796494.png
809,37,(3-fluorophenyl)methanamine,(|3|-|fluoro|phen|yl|)|meth|an|amine,37.png
3309,1547667,(E)-3-phenylsulfanylprop-2-enoic acid,(|E|)|-|3|-|phen|yl|sulfan|yl|prop|-|2|-|en|oic acid,1547667.png
7225,138684178,2-(4-bromo-2-fluorophenoxy)-4-fluorobutanoic acid,2|-|(|4|-|bromo|-|2|-|fluoro|phen|oxy|)|-|4|-|fluoro|but|an|oic acid,138684178.png
176,42,2-methylhept-2-ene,2|-|meth|yl|hept|-|2|-|ene,42.png
4270,18786195,"(E)-3-(3,4-difluoro-2-methylphenyl)prop-2-enoic acid","(|E|)|-|3|-|(|3|,|4|-|di|fluoro|-|2|-|meth|yl|phen|yl|)|prop|-|2|-|en|oic acid",18786195.png
1065,141508155,prop-2-enyl thiohypobromite,prop|-|2|-|en|yl| |thio|hypo|bromite,141508155.png
1925,22255879,butyl(propan-2-yl)phosphane,but|yl|(|prop|an|-|2|-|yl|)|pho|s|phane,22255879.png
278,22,"deca-2,4-diyne","dec|a|-|2|,|4|-|di|yne",22.png
6076,70946941,"(1R)-2,5-difluoro-1,1a,6,6a-tetrahydrocyclopropa[a]indene-1-carboxylic acid","(|1|R)|-|2|,|5|-|di|fluoro|-|1|,|1a|,|6|,|6a|-tetrahydro|cyclo|prop|a[|a]|inden|e|-|1|-|carboxylic acid",70946941.png
5068,53435299,"3-(3,5-difluoro-4-methoxyphenyl)prop-2-enoic acid","3|-|(|3|,|5|-|di|fluoro|-|4|-|meth|oxy|phen|yl|)|prop|-|2|-|en|oic acid",53435299.png
2494,5368141,(Z)-1-bromo-2-chlorobut-2-ene,(|Z|)|-|1|-|bromo|-|2|-|chloro|but|-|2|-|ene,5368141.png
5108,53768699,"3-(4,5-dimethylfuran-2-yl)-2-sulfanylidenepropanoic acid","3|-|(|4|,|5|-|di|meth|yl|fura|n|-|2|-|yl|)|-|2|-|sulfan|yl|idene|prop|an|oic acid",53768699.png
1628,59262462,"1-deuteriohexa-1,3,5-triyne","1|-|deuterio|hex|a|-|1|,|3|,|5|-|tri|yne",59262462.png
3970,13785338,"(2S,3R)-3-(4-chlorophenyl)oxirane-2-carboxylic acid","(|2|S|,|3R)|-|3|-|(|4|-|chloro|phen|yl|)|oxirane|-|2|-|carboxylic acid",13785338.png
6907,127046271,(2Z)-3-(4-cyanophenyl)-2-hydroxyiminopropanoic acid,(|2|Z)|-|3|-|(|4|-|cyano|phen|yl|)|-|2|-|hydroxyimino|prop|an|oic acid,127046271.png
5181,54131085,"3-(2,3,4,5-tetrafluorophenyl)propanoic acid","3|-|(|2|,|3|,|4|,|5|-|tetra|fluoro|phen|yl|)|prop|an|oic acid",54131085.png
2126,14525861,(2R)-2-methylhex-5-enal,(|2|R|)|-|2|-|meth|yl|hex|-|5|-|en|al,14525861.png
3990,14071568,3-(6-chloropyridin-3-yl)propanoic acid,3|-|(|6|-|chloro|pyridin|-|3|-|yl|)|prop|an|oic acid,14071568.png
7563,141077429,1-(triazol-1-yl)ethyl hydrogen carbonate,1|-|(|tri|az|ol|-|1|-|yl|)|eth|yl| |hydrogen| |carbonate,141077429.png
5972,69750703,2-methoxyethyl 2-(4-hydroxyphenyl)acetate,2|-|meth|oxy|eth|yl| |2|-|(|4|-|hydroxy|phen|yl|)|acet|ate,69750703.png
8057,145541352,(2S)-2-amino-3-(4-aminopiperazin-1-yl)propanoic acid,(|2|S)|-|2|-|amino|-|3|-|(|4|-|amino|piperazin|-|1|-|yl|)|prop|an|oic acid,145541352.png
6203,83543209,2-bromo-3-(4-methylphenyl)propanoic acid,2|-|bromo|-|3|-|(|4|-|meth|yl|phen|yl|)|prop|an|oic acid,83543209.png
3517,5385045,(Z)-3-(4-hydroxyphenyl)pent-2-enedioic acid,(|Z|)|-|3|-|(|4|-|hydroxy|phen|yl|)|pent|-|2|-|ene|di|oic acid,5385045.png
1246,129922202,1-bromo-1-ethenylsulfanylethane,1|-|bromo|-|1|-|eth|en|yl|sulfan|yl|eth|ane,129922202.png
7048,134854528,(3S)-2-oxo-3-phenylhex-5-enoic acid,(|3|S)|-|2|-|oxo|-|3|-|phen|yl|hex|-|5|-|en|oic acid,134854528.png
6685,118663110,"2-hydroxy-2-methyl-3-(3,4,4-trimethylcyclohexen-1-yl)propanoic acid","2|-|hydroxy|-|2|-|meth|yl|-|3|-|(|3|,|4|,|4|-|tri|meth|yl|cyclo|hex|en|-|1|-|yl|)|prop|an|oic acid",118663110.png
168,28,"3-ethyl-4,5-dimethylhexa-1,4-diene","3|-|eth|yl|-|4|,|5|-|di|meth|yl|hex|a|-|1|,|4|-|di|ene",28.png
7269,139396904,"2,2-dimethoxy-2-phenylsulfanylacetic acid","2|,|2|-|di|meth|oxy|-|2|-|phen|yl|sulfan|yl|acet|ic acid",139396904.png
2030,19883792,2-methylbutan-2-yl hypochlorite,2|-|meth|yl|but|an|-|2|-|yl| |hypo|chlorite,19883792.png
4680,22292347,(E)-3-(5-chloro-2-fluorophenyl)prop-2-enoic acid,(|E|)|-|3|-|(|5|-|chloro|-|2|-|fluoro|phen|yl|)|prop|-|2|-|en|oic acid,22292347.png
1218,134893889,"(E)-1-chloro-1,2-bis(methylsulfanyl)ethene","(|E|)|-|1|-|chloro|-|1|,|2|-|bis|(|meth|yl|sulfan|yl|)|eth|ene",134893889.png
5745,67586919,4-oxo-2-phenylpent-2-enoic acid,4|-|oxo|-|2|-|phen|yl|pent|-|2|-|en|oic acid,67586919.png
3878,12762234,3-pyridin-1-ium-1-ylpropanoate,3|-|pyridin|-|1|-|ium|-|1|-|yl|prop|an|oate,12762234.png
1000,143290874,"(5Z)-3-chlorohepta-1,5-diene","(|5|Z|)|-|3|-|chloro|hept|a|-|1|,|5|-|di|ene",143290874.png
3736,11116380,3-(4-hydroxyphenyl)-2-oxopropanal,3|-|(|4|-|hydroxy|phen|yl|)|-|2|-|oxo|prop|an|al,11116380.png
4918,39239971,(3S)-3-(4-fluorophenyl)-3-hydroxybutanoic acid,(|3|S)|-|3|-|(|4|-|fluoro|phen|yl|)|-|3|-|hydroxy|but|an|oic acid,39239971.png
217,150,"deca-4,5-diene","dec|a|-|4|,|5|-|di|ene",150.png
4889,28710629,2-oxo-2-[4-(trifluoromethyl)anilino]acetic acid,2|-|oxo|-|2|-|[|4|-|(|tri|fluoro|meth|yl|)|anilino|]|acet|ic acid,28710629.png
1985,21018900,1-bromo-2-hydroperoxy-2-methylpropane,1|-|bromo|-|2|-|hydro|peroxy|-|2|-|meth|yl|prop|ane,21018900.png
2347,12139426,"(Z)-1,4-diiodobut-2-ene","(|Z|)|-|1|,|4|-|di|iodo|but|-|2|-|ene",12139426.png
2559,643835,(Z)-hex-2-ene,(|Z|)|-|hex|-|2|-|ene,643835.png
6425,93513493,"(2S,3S)-3-hydroxy-2-phenylbutanoic acid","(|2|S|,|3S)|-|3|-|hydroxy|-|2|-|phen|yl|but|an|oic acid",93513493.png
4427,20264499,19-(4-hydroxyphenyl)nonadecanoic acid,1|9|-|(|4|-|hydroxy|phen|yl|)|non|ade|c|an|oic acid,20264499.png
6592,118136632,3-(4-hydroxy-2-iodophenyl)butanoic acid,3|-|(|4|-|hydroxy|-|2|-|iodo|phen|yl|)|but|an|oic acid,118136632.png
3102,231892,3-(4-nitrophenyl)-2-oxopropanoic acid,3|-|(|4|-|nitro|phen|yl|)|-|2|-|oxo|prop|an|oic acid,231892.png
3078,176504,"3-(3,5-dichlorophenyl)prop-2-enoic acid","3|-|(|3|,|5|-|di|chloro|phen|yl|)|prop|-|2|-|en|oic acid",176504.png
3751,11275537,prop-2-enyl 2-(4-hydroxyphenyl)acetate,prop|-|2|-|en|yl| |2|-|(|4|-|hydroxy|phen|yl|)|acet|ate,11275537.png
6429,94422835,"(1R,2S)-2-(oxan-4-yl)cyclopropane-1-carboxylic acid","(|1|R|,|2S|)|-|2|-|(|oxan|-|4|-|yl|)|cyclo|prop|ane|-|1|-|carboxylic acid",94422835.png
5014,49866814,(2S)-3-(3-chloro-4-hydroxyphenyl)-2-(methylamino)propanoic acid,(|2|S)|-|3|-|(|3|-|chloro|-|4|-|hydroxy|phen|yl|)|-|2|-|(|meth|yl|amino|)|prop|an|oic acid,49866814.png
4965,44119084,(Z)-4-(furan-2-yl)-2-oxobut-3-enoic acid,(|Z|)|-|4|-|(|furan|-|2|-|yl|)|-|2|-|oxo|but|-|3|-|en|oic acid,44119084.png
7535,141014506,(2S)-2-[(4-fluorophenyl)methoxyamino]propanoic acid,(|2|S)|-|2|-|[|(|4|-|fluoro|phen|yl|)|meth|oxy|amino|]|prop|an|oic acid,141014506.png
2226,12808406,1-(chloromethylsulfanyl)pentane,1|-|(|chloro|meth|yl|sulfan|yl|)|pent|ane,12808406.png
929,80,4-heptoxy-3-methoxyaniline,4|-|hept|oxy|-|3|-|meth|oxy|aniline,80.png
4091,15652183,3-phenyl-3-sulfanylpropanoic acid,3|-|phen|yl|-|3|-|sulfan|yl|prop|an|oic acid,15652183.png
5521,59324201,3-(3-bromo-4-hydroxyphenyl)-2-oxopropanoic acid,3|-|(|3|-|bromo|-|4|-|hydroxy|phen|yl|)|-|2|-|oxo|prop|an|oic acid,59324201.png
6870,123583207,"2-(7-methylcyclohepta-1,4,6-trien-1-yl)acetic acid","2|-|(|7|-|meth|yl|cyclo|hept|a|-|1|,|4|,|6|-|tri|en|-|1|-|yl|)|acet|ic acid",123583207.png
578,71,3-methyloctanoic acid,3|-|meth|yl|oct|an|oic acid,71.png
3502,5329677,"2-[(2-acetamido-1,3-thiazol-5-yl)sulfanyl]acetic acid","2|-|[|(|2|-|acet|amido|-|1|,|3|-|th|iazol|-|5|-|yl|)|sulfan|yl|]|acet|ic acid",5329677.png
2689,521244,"3,4-dimethylhexa-1,5-diene","3|,|4|-|di|meth|yl|hex|a|-|1|,|5|-|di|ene",521244.png
7419,140269216,"(2E)-2-[(3,5-difluoro-4-hydroxyphenyl)methylidene]butanoic acid","(|2|E|)|-|2|-|[|(|3|,|5|-|di|fluoro|-|4|-|hydroxy|phen|yl|)|meth|yl|idene|]|but|an|oic acid",140269216.png
7541,141024928,(2S)-2-(deuteriomethoxyamino)-3-phenylpropanoic acid,(|2|S)|-|2|-|(|deuterio|meth|oxy|amino|)|-|3|-|phen|yl|prop|an|oic acid,141024928.png
91,31,"4-ethyl-1,1-dimethylcyclohexane","4|-|eth|yl|-|1|,|1|-|di|meth|yl|cyclo|hex|ane",31.png
464,232,5-chloropentanal,5|-|chloro|pent|an|al,232.png
234,82,oct-1-yne,oct|-|1|-|yne,82.png
6394,91507153,"(2S)-2-(4-hydroxy-N,3-dimethylanilino)propanoic acid","(|2|S)|-|2|-|(|4|-|hydroxy|-|N|,|3|-|di|meth|yl|anilino|)|prop|an|oic acid",91507153.png
651,164,2-methoxy-3-methylbut-2-enoic acid,2|-|meth|oxy|-|3|-|meth|yl|but|-|2|-|en|oic acid,164.png
1765,54202269,5-methylidenehept-1-ene,5|-|meth|yl|idene|hept|-|1|-|ene,54202269.png
7466,140498186,2-cyano-3-(4-hydroxycyclohexyl)prop-2-enoate,2|-|cyano|-|3|-|(|4|-|hydroxy|cyclo|hex|yl|)|prop|-|2|-|en|oate,140498186.png
6161,81780945,2-(4-fluoro-2-methylphenoxy)propanoic acid,2|-|(|4|-|fluoro|-|2|-|meth|yl|phen|oxy|)|prop|an|oic acid,81780945.png
7185,137502314,3-(4-hydroxy-3-prop-1-en-2-ylphenyl)propanoic acid,3|-|(|4|-|hydroxy|-|3|-|prop|-|1|-|en|-|2|-|yl|phen|yl|)|prop|an|oic acid,137502314.png
56,122,"3-ethyl-2,2-dimethylpentane","3|-|eth|yl|-|2|,|2|-|di|meth|yl|pent|ane",122.png
7599,141129648,"2-(2-tricyclo[3.2.1.01,3]octanylmethyl)prop-2-enoic acid","2|-|(|2|-|tri|cyclo|[|3.2|.1|.01|,|3|]|oct|an|yl|meth|yl|)|prop|-|2|-|en|oic acid",141129648.png
7596,141125847,(2S)-2-(2-deuterioethylamino)-3-(4-hydroxyphenyl)propanoic acid,(|2|S)|-|2|-|(|2|-|deuterio|eth|yl|amino|)|-|3|-|(|4|-|hydroxy|phen|yl|)|prop|an|oic acid,141125847.png
2547,3085710,2-bromohex-1-en-5-yne,2|-|bromo|hex|-|1|-|en|-|5|-|yne,3085710.png
2275,12568351,bis(propan-2-ylimino)-lambda4-sulfane,bis(prop|an|-|2|-|yl|i|mino|)|-|l|ambda4|-|sulfane,12568351.png
1507,90933172,"hexane-3,3-dithiol","hex|ane|-|3|,|3|-|dithiol",90933172.png
366,197,"4,4-dimethylpentan-2-ol","4|,|4|-|di|meth|yl|pent|an|-|2|-|ol",197.png
6051,70523995,"(Z)-3-(3,4-dihydroxyphenyl)-2-methoxyprop-2-enoic acid","(|Z|)|-|3|-|(|3|,|4|-|di|hydroxy|phen|yl|)|-|2|-|meth|oxy|prop|-|2|-|en|oic acid",70523995.png
4355,19863198,2-(4-hydroxyphenyl)sulfanylpropanoic acid,2|-|(|4|-|hydroxy|phen|yl|)|sulfan|yl|prop|an|oic acid,19863198.png
3772,11615581,2-oxo-2-[2-(trifluoromethyl)anilino]acetic acid,2|-|oxo|-|2|-|[|2|-|(|tri|fluoro|meth|yl|)|anilino|]|acet|ic acid,11615581.png
6184,82512080,3-(4-methylimidazol-1-yl)propanoic acid,3|-|(|4|-|meth|yl|imidaz|ol|-|1|-|yl|)|prop|an|oic acid,82512080.png
3129,266778,3-(4-nitrosophenyl)prop-2-enoic acid,3|-|(|4|-|nitrosophen|yl|)|prop|-|2|-|en|oic acid,266778.png
4500,20608091,"3-(3,4,5-trimethylphenyl)propanoic acid","3|-|(|3|,|4|,|5|-|tri|meth|yl|phen|yl|)|prop|an|oic acid",20608091.png
4960,43810289,2-(2-chloro-6-fluorophenyl)cyclopropane-1-carboxylic acid,2|-|(|2|-|chloro|-|6|-|fluoro|phen|yl|)|cyclo|prop|ane|-|1|-|carboxylic acid,43810289.png
4529,21136186,3-(oxan-3-yl)propanoic acid,3|-|(|oxan|-|3|-|yl|)|prop|an|oic acid,21136186.png
