,cid,iupacname,label
35,97,"2,2,5-trimethylhexane","2|,|2|,|5|-|tri|meth|yl|hex|ane"
36,109,2-bromo-4-chloropentane,2|-|bromo|-|4|-|chloro|pent|ane
37,126,"1,3-dicyclohexylpropane","1|,|3|-|di|cyclo|hex|yl|prop|ane"
38,221,"3,3-dimethylpentane","3|,|3|-|di|meth|yl|pent|ane"
39,252,"2,3-dimethylpentane","2|,|3|-|di|meth|yl|pent|ane"
40,183,"2,3-dimethylhexane","2|,|3|-|di|meth|yl|hex|ane"
41,243,3-methylhexane,3|-|meth|yl|hex|ane
42,247,"2,4-dimethylhexane","2|,|4|-|di|meth|yl|hex|ane"
43,31,"2,2-dimethylhexane","2|,|2|-|di|meth|yl|hex|ane"
44,16,3-ethylpentane,3|-|eth|yl|pent|ane
45,64,3-ethylhexane,3|-|eth|yl|hex|ane
46,194,3-ethyl-3-methylpentane,3|-|eth|yl|-|3|-|meth|yl|pent|ane
47,216,"3-ethyl-2,4-dimethylpentane","3|-|eth|yl|-|2|,|4|-|di|meth|yl|pent|ane"
48,221,"2,3,5-trimethylhexane","2|,|3|,|5|-|tri|meth|yl|hex|ane"
49,122,3-bromopentane,3|-|bromo|pent|ane
50,138,3-ethyl-4-methylhexane,3|-|eth|yl|-|4|-|meth|yl|hex|ane
51,148,"3,4-dimethylhexane","3|,|4|-|di|meth|yl|hex|ane"
52,87,3-ethyl-2-methylpentane,3|-|eth|yl|-|2|-|meth|yl|pent|ane
53,221,"2,3,4-trimethylhexane","2|,|3|,|4|-|tri|meth|yl|hex|ane"
54,222,"3,4-dimethylheptane","3|,|4|-|di|meth|yl|hept|ane"
55,196,"3,3-diethylpentane","3|,|3|-|di|eth|yl|pent|ane"
56,122,"3-ethyl-2,2-dimethylpentane","3|-|eth|yl|-|2|,|2|-|di|meth|yl|pent|ane"
57,123,"3-ethyl-2,3-dimethylpentane","3|-|eth|yl|-|2|,|3|-|di|meth|yl|pent|ane"
58,84,"1,2,2,3-tetrabromopropane","1|,|2|,|2|,|3|-|tetra|bromo|prop|ane"
59,53,3-iodopentane,3|-|iodo|pent|ane
60,190,"1,2,2-tribromobutane","1|,|2|,|2|-|tri|bromo|but|ane"
61,242,"1,2,2-tribromopropane","1|,|2|,|2|-|tri|bromo|prop|ane"
62,22,3-bromo-3-methylpentane,3|-|bromo|-|3|-|meth|yl|pent|ane
63,233,"1,2,3-tribromo-2-methylpropane","1|,|2|,|3|-|tri|bromo|-|2|-|meth|yl|prop|ane"
64,181,3-ethyl-3-methylheptane,3|-|eth|yl|-|3|-|meth|yl|hept|ane
65,110,"2,2-dibromobutane","2|,|2|-|di|bromo|but|ane"
66,202,"3-ethyl-2,3-dimethylhexane","3|-|eth|yl|-|2|,|3|-|di|meth|yl|hex|ane"
67,204,"4-ethyl-2,4-dimethylhexane","4|-|eth|yl|-|2|,|4|-|di|meth|yl|hex|ane"
68,212,"2,3,4,4-tetramethylhexane","2|,|3|,|4|,|4|-|tetra|meth|yl|hex|ane"
69,214,"3,3-diethyl-2-methylpentane","3|,|3|-|di|eth|yl|-|2|-|meth|yl|pent|ane"
70,215,"3-ethyl-2,2,3-trimethylpentane","3|-|eth|yl|-|2|,|2|,|3|-|tri|meth|yl|pent|ane"
71,217,"3-ethyl-2,3,4-trimethylpentane","3|-|eth|yl|-|2|,|3|,|4|-|tri|meth|yl|pent|ane"
72,207,"3-ethyl-2,4-dimethylhexane","3|-|eth|yl|-|2|,|4|-|di|meth|yl|hex|ane"
73,223,3-iodo-3-methylpentane,3|-|iodo|-|3|-|meth|yl|pent|ane
74,199,"1,3-dibromo-2-(bromomethyl)-2-methylpropane","1|,|3|-|di|bromo|-|2|-|(|bromo|meth|yl|)|-|2|-|meth|yl|prop|ane"
75,153,3-bromo-3-(bromomethyl)pentane,3|-|bromo|-|3|-|(|bromo|meth|yl|)|pent|ane
76,167,3-ethyl-3-fluoropentane,3|-|eth|yl|-|3|-|fluoro|pent|ane
77,243,"1,1,1-tribromopropane","1|,|1|,|1|-|tri|bromo|prop|ane"
78,207,cyclopropane,cyclo|prop|ane
79,34,cyclobutane,cyclo|but|ane
80,37,cyclopentane,cyclo|pent|ane
81,142,cyclohexane,cyclo|hex|ane
82,49,cycloheptane,cyclo|hept|ane
83,50,cyclooctane,cyclo|oct|ane
84,207,cyclononane,cyclo|non|ane
85,51,cyclodecane,cyclo|dec|ane
86,128,methylcyclopentane,meth|yl|cyclo|pent|ane
87,165,bromohexane,bromo|hex|ane
88,199,1-bromo-4-methylcyclohexane,1|-|bromo|-|4|-|meth|yl|cyclo|hex|ane
89,25,1-ethyl-2-methylcyclopentane,1|-|eth|yl|-|2|-|meth|yl|cyclo|pent|ane
90,253,4-(bromomethyl)-3-methylheptane,4|-|(|bromo|meth|yl|)|-|3|-|meth|yl|hept|ane
91,31,"4-ethyl-1,1-dimethylcyclohexane","4|-|eth|yl|-|1|,|1|-|di|meth|yl|cyclo|hex|ane"
92,80,"1,1-diethylcyclohexane","1|,|1|-|di|eth|yl|cyclo|hex|ane"
93,128,methylcyclopentane,meth|yl|cyclo|pent|ane
94,140,1-ethyl-3-propylcyclohexane,1|-|eth|yl|-|3|-|prop|yl|cyclo|hex|ane
95,155,"2-ethyl-1,4-dimethylcycloheptane","2|-|eth|yl|-|1|,|4|-|di|meth|yl|cyclo|hept|ane"
96,252,"1,2-dimethylcyclopentane","1|,|2|-|di|meth|yl|cyclo|pent|ane"
97,29,"2,5-dimethylhexan-3-ylcyclopentane","2|,|5|-|di|meth|yl|hex|an|-|3|-|yl|cyclo|pent|ane"
98,57,"1,2,3-trimethylcyclobutane","1|,|2|,|3|-|tri|meth|yl|cyclo|but|ane"
99,49,"1,3-dichlorocyclohexane","1|,|3|-|di|chloro|cyclo|hex|ane"
100,215,"1,2,3,4,5,6-hexachlorocyclohexane","1|,|2|,|3|,|4|,|5|,|6|-|hexa|chloro|cyclo|hex|ane"
101,181,eth-1-ene,eth|-|1|-|ene
102,60,prop-1-ene,prop|-|1|-|ene
103,164,but-1-ene,but|-|1|-|ene
104,68,pent-1-ene,pent|-|1|-|ene
105,77,hex-1-ene,hex|-|1|-|ene
106,114,hex-3-ene,hex|-|3|-|ene
107,90,hept-1-ene,hept|-|1|-|ene
108,189,oct-1-ene,oct|-|1|-|ene
109,53,non-1-ene,non|-|1|-|ene
110,69,dec-1-ene,dec|-|1|-|ene
111,246,3-chloro-2-methyloct-1-ene,3|-|chloro|-|2|-|meth|yl|oct|-|1|-|ene
112,3,5-ethyl-2-methylhept-2-ene,5|-|eth|yl|-|2|-|meth|yl|hept|-|2|-|ene
113,232,2-methylbutene,2|-|meth|yl|but|ene
114,117,"3,4-dimethyl-3-propan-2-ylhex-1-ene","3|,|4|-|di|meth|yl|-|3|-|prop|an|-|2|-|yl|hex|-|1|-|ene"
115,92,2-ethyl-3-methylpent-1-ene,2|-|eth|yl|-|3|-|meth|yl|pent|-|1|-|ene
116,226,3-ethyl-4-methylpent-1-ene,3|-|eth|yl|-|4|-|meth|yl|pent|-|1|-|ene
117,209,4-bromo-2-methylbut-1-ene,4|-|bromo|-|2|-|meth|yl|but|-|1|-|ene
118,207,"2,3,3-trimethylpentane","2|,|3|,|3|-|tri|meth|yl|pent|ane"
119,160,3-methylhex-1-ene,3|-|meth|yl|hex|-|1|-|ene
120,164,"3,3-dimethylpent-1-ene","3|,|3|-|di|meth|yl|pent|-|1|-|ene"
121,133,4-methylhex-1-ene,4|-|meth|yl|hex|-|1|-|ene
122,239,3-ethylpent-1-ene,3|-|eth|yl|pent|-|1|-|ene
123,210,3-methylhept-1-ene,3|-|meth|yl|hept|-|1|-|ene
124,58,"3,4-dimethylpent-1-ene","3|,|4|-|di|meth|yl|pent|-|1|-|ene"
125,59,"2,3-dimethylpent-2-ene","2|,|3|-|di|meth|yl|pent|-|2|-|ene"
126,124,"3,3,5-trimethylhex-1-ene","3|,|3|,|5|-|tri|meth|yl|hex|-|1|-|ene"
127,35,"4,5-dimethylhex-1-ene","4|,|5|-|di|meth|yl|hex|-|1|-|ene"
128,248,"3,4,5-trimethylhex-1-ene","3|,|4|,|5|-|tri|meth|yl|hex|-|1-|ene"
129,147,"3-methylpenta-1,4-diene","3|-|meth|yl|pent|a|-|1|,|4|-|di|ene"
130,2,5-methylhex-1-ene,5|-|meth|yl|hex|-|1|-|ene
131,126,"2-(bromomethyl)buta-1,3-diene","2|-|(|bromo|meth|yl|)|but|a|-|1|,|3|-|di|ene"
132,56,"3,5,5-trimethylhex-1-ene","3|,|5|,|5|-|tri|meth|yl|hex|-|1|-|ene"
133,48,5-methylhept-1-ene,5|-|meth|yl|hept|-|1|-|ene
134,91,3-ethylhex-1-ene,3|-|eth|yl|hex|-|1|-|ene
135,229,4-ethylhex-1-ene,4|-|eth|yl|hex|-|1|-|ene
136,249,"2,4-dimethylhept-1-ene","2|,|4|-|di|meth|yl|hept|-|1|-|ene"
137,159,"3,3-dimethylpenta-1,4-diene","3|,|3|-|di|meth|yl|pent|a|-|1|,|4|-|di|ene"
138,113,"3-methylhexa-1,5-diene","3|-|meth|yl|hex|a|-|1|,|5|-|di|ene"
139,196,"3,3-dimethylhex-1-ene","3|,|3|-|di|meth|yl|hex|-|1|-|ene"
140,13,"3,4-dimethylidenehexa-1,5-diene","3|,|4|-|di|meth|yl|idene|hex|a|-|1|,|5|-|di|ene"
141,240,"1,2,3-tri(propan-2-ylidene)cyclopropane","1|,|2|,|3|-|tri|(|prop|an|-|2|-|yl|idene|)|cyclo|prop|ane"
142,47,3-ethyl-2-methylpent-1-ene,3|-|eth|yl|-|2|-|meth|yl|pent|-|1|-|ene
143,48,3-ethyl-2-methylpent-2-ene,3|-|eth|yl|-|2|-|meth|yl|pent|-|2|-|ene
144,76,3-bromobut-1-ene,3|-|bromo|but|-|1|-|ene
145,233,"3-ethenylpenta-1,4-diene","3|-|eth|en|yl|pent|a|-|1|,|4|-|di|ene"
146,221,"1,1-bis(methylsulfanyl)ethene","1|,|1|-|bis|(|meth|yl|sulfan|yl|)|eth|ene"
147,225,"2,4,4-trimethylhex-1-ene","2|,|4|,|4|-|tri|meth|yl|hex|-|1|-|ene"
148,120,"3-ethenyl-4-methylpenta-1,3-diene","3|-|eth|en|yl|-|4|-|meth|yl|pent|a|-|1|,|3|-|di|ene"
149,96,2-ethylsulfanyl-3-methylbut-1-ene,2|-|eth|yl|sulfan|yl|-|3|-|meth|yl|but|-|1|-|ene
150,97,2-ethylsulfanylbut-1-ene,2|-|eth|yl|sulfan|yl|but|-|1|-|ene
151,23,"1,1-dibromo-2-methylprop-1-ene","1|,|1|-|di|bromo|-|2|-|meth|yl|prop|-|1|-|ene"
152,57,4-methylhept-1-ene,4|-|meth|yl|hept|-|1|-|ene
153,253,"2,4-dimethylhex-2-ene","2|,|4|-|di|meth|yl|hex|-|2|-|ene"
154,133,"2,4-dimethylhex-1-ene","2|,|4|-|di|meth|yl|hex|-|1|-|ene"
155,170,"3,3-dimethylhexa-1,5-diene","3|,|3|-|di|meth|yl|hex|a|-|1|,|5|-|di|ene"
156,28,"3,4-dimethylhexa-1,5-diene","3|,|4|-|di|meth|yl|hex|a|-|1|,|5|-|di|ene"
157,222,3-bromopent-1-ene,3|-|bromo|pent|-|1|-|ene
158,237,"3,3,4-trimethylpent-1-ene","3|,|3|,|4|-|tri|meth|yl|pent|-|1|-|ene"
159,5,"3,4,4-trimethylpent-1-ene","3|,|4|,|4|-|tri|meth|yl|pent|-|1|-|ene"
160,30,"3,5-dimethylhex-1-ene","3|,|5|-|di|meth|yl|hex|-|1|-|ene"
161,241,"4-methylocta-1,7-diene","4|-|meth|yl|oct|a|-|1|,|7|-|di|ene"
162,165,"3,5-dimethylhepta-1,6-diene","3|,|5|-|di|meth|yl|hept|a|-|1|,|6|-|di|ene"
163,168,"2,5,5-trimethylhepta-1,6-diene","2|,|5|,|5|-|tri|meth|yl|hept|a|-|1|,|6|-|di|ene"
164,118,"3,4-dimethyloct-1-ene","3|,|4|-|di|meth|yl|oct|-|1|-|ene"
165,250,"2,4-dimethylhexa-1,5-diene","2|,|4|-|di|meth|yl|hex|a|-|1|,|5|-|di|ene"
166,191,"5-bromo-4,4-dimethylpent-1-ene","5|-|bromo|-|4|,|4|-|di|meth|yl|pent|-|1|-|ene"
167,28,3-ethenylhex-1-ene,3|-|eth|en|yl|hex|-|1|-|ene
168,28,"3-ethyl-4,5-dimethylhexa-1,4-diene","3|-|eth|yl|-|4|,|5|-|di|meth|yl|hex|a|-|1|,|4|-|di|ene"
169,189,"2,4,4-trimethylpent-2-ene","2|,|4|,|4|-|tri|meth|yl|pent|-|2|-|ene"
170,189,1-chloro-3-methylbut-2-ene,1|-|chloro|-|3|-|meth|yl|but|-|2|-|ene
171,202,"3,3-dimethylbut-1-ene","3|,|3|-|di|meth|yl|but|-|1|-|ene"
172,242,"2,3-dimethylbut-2-ene","2|,|3|-|di|meth|yl|but|-|2|-|ene"
173,6,"2,3,4-trimethylpent-2-ene","2|,|3|,|4|-|tri|meth|yl|pent|-|2|-|ene"
174,211,2-methylpent-2-ene,2|-|meth|yl|pent|-|2|-|ene
175,228,"2,4-dimethylpent-2-ene","2|,|4|-|di|meth|yl|pent|-|2|-|ene"
176,42,2-methylhept-2-ene,2|-|meth|yl|hept|-|2|-|ene
177,180,4-methylpent-1-ene,4|-|meth|yl|pent|-|1|-|ene
178,184,"4,4-dimethylpent-1-ene","4|,|4|-|di|meth|yl|pent|-|1|-|ene"
179,243,"4-methylpenta-1,3-diene","4|-|meth|yl|pent|a|-|1|,|3|-|di|ene"
180,165,"2,5-dimethylhex-2-ene","2|,|5|-|di|meth|yl|hex|-|2|-|ene"
181,204,1-bromo-3-methylbut-2-ene,1|-|bromo|-|3|-|meth|yl|but|-|2|-|ene
182,124,"3,5-dichloro-2,4,4-trimethylpent-2-ene","3|,|5|-|di|chloro|-|2|,|4|,|4|-|tri|meth|yl|pent|-|2|-|ene"
183,255,3-chloro-3-methylbut-1-ene,3|-|chloro|-|3|-|meth|yl|but|-|1|-|ene
184,219,"6-methylhepta-1,5-diene","6|-|meth|yl|hept|a|-|1|,|5|-|di|ene"
185,106,3-ethylhex-3-ene,3|-|eth|yl|hex|-|3|-|ene
186,107,4-bromopent-1-ene,4|-|bromo|pent|-|1|-|ene
187,131,"2,7-dimethylocta-2,6-diene","2|,|7|-|di|meth|yl|oct|a|-|2|,|6|-|di|ene"
188,19,2-bromo-3-methylbut-2-ene,2|-|bromo|-|3|-|meth|yl|but|-|2|-|ene
189,217,"2,6-dimethylhepta-2,5-diene","2|,|6|-|di|meth|yl|hept|a|-|2|,|5|-|di|ene"
190,122,"2,5,5-trimethylhex-2-ene","2|,|5|,|5|-|tri|meth|yl|hex|-|2|-|ene"
191,24,"3,3,5-trimethylhexa-1,4-diene","3|,|3|,|5|-|tri|meth|yl|hex|a|-|1|,|4|-|di|ene"
192,53,propadiene,prop|a|di|ene
193,15,"buta-1,2-diene","but|a|-|1|,|2|-|di|ene"
194,165,"buta-1,3-diene","but|a|-|1|,|3|-|di|ene"
195,68,"penta-1,2-diene","pent|a|-|1|,|2|-|di|ene"
196,252,"penta-1,3-diene","pent|a|-|1|,|3|-|di|ene"
197,67,"penta-1,4-diene","pent|a|-|1|,|4|-|di|ene"
198,186,"penta-2,3-diene","pent|a|-|2|,|3|-|di|ene"
199,187,"hexa-1,2-diene","hex|a|-|1|,|2|-|di|ene"
200,78,"hexa-1,5-diene","hex|a|-|1|,|5|-|di|ene"
201,188,"hexa-2,3-diene","hex|a|-|2|,|3|-|di|ene"
202,162,"hepta-1,2-diene","hept|a|-|1|,|2|-|di|ene"
203,72,"hepta-1,6-diene","hept|a|-|1|,|6|-|di|ene"
204,112,"hepta-2,3-diene","hept|a|-|2|,|3|-|di|ene"
205,60,"hepta-3,4-diene","hept|a|-|3|,|4|-|di|ene"
206,60,"octa-1,2-diene","oct|a|-|1|,|2|-|di|ene"
207,60,"octa-2,3-diene","oct|a|-|2|,|3|-|di|ene"
208,12,"nona-1,2-diene","non|a|-|1|,|2|-|di|ene"
209,20,"nona-1,8-diene","non|a|-|1|,|8|-|di|ene"
210,191,"nona-2,3-diene","non|a|-|2|,|3|-|di|ene"
211,211,"nona-3,4-diene","non|a|-|3|,|4|-|di|ene"
212,173,"nona-4,5-diene","non|a|-|4|,|5|-|di|ene"
213,48,"deca-1,2-diene","dec|a|-|1|,|2|-|di|ene"
214,79,"deca-1,9-diene","dec|a|-|1|,|9|-|di|ene"
215,44,"deca-2,3-diene","dec|a|-|2|,|3|-|di|ene"
216,50,"deca-3,4-diene","dec|a|-|3|,|4|-|di|ene"
217,150,"deca-4,5-diene","dec|a|-|4|,|5|-|di|ene"
218,37,cyclopropene,cyclo|prop|ene
219,84,cyclobutene,cyclo|but|ene
220,178,cyclopentene,cyclo|pent|ene
221,143,cyclohexene,cyclo|hex|ene
222,75,cycloheptene,cyclo|hept|ene
223,127,cyclooctene,cyclo|oct|ene
224,113,cyclononene,cyclo|non|ene
225,108,cyclodecene,cyclo|dec|ene
226,52,4-methylcyclohexene,4|-|meth|yl|cyclo|hex|ene
227,195,"3,4-dimethylcyclohexene","3|,|4|-|di|meth|yl|cyclo|hex|ene"
228,182,ethyne,eth|yne
229,191,propyne,prop|yne
230,166,butyne,but|yne
231,21,pentyne,pent|yne
232,188,hexyne,hex|yne
233,62,heptyne,hept|yne
234,82,oct-1-yne,oct|-|1|-|yne
235,249,nonyne,non|yne
236,197,decyne,dec|yne
237,245,4-methylpent-2-yne,4|-|meth|yl|pent|-|2|-|yne
238,65,5-chloro-6-methyloct-1-yne,5|-|chloro|-|6|-|meth|yl|oct|-|1|-|yne
239,77,"4,4,6-trimethylhept-1-yne","4|,|4|,|6|-|tri|meth|yl|hept|-|1|-|yne"
240,147,5-ethyloct-2-yne,5|-|eth|yl|oct|-|2|-|yne
241,13,"buta-1,3-diyne","but|a|-|1|,|3|-|di|yne"
242,145,"penta-1,3-diyne","pent|a|-|1|,|3|-|di|yne"
243,56,"penta-1,4-diyne","pent|a|-|1|,|4|-|di|yne"
244,14,"hexa-1,3-diyne","hex|a|-|1|,|3|-|di|yne"
245,142,"hexa-1,4-diyne","hex|a|-|1|,|4|-|di|yne"
246,26,"hexa-1,5-diyne","hex|a|-|1|,|5|-|di|yne"
247,255,"hexa-2,4-diyne","hex|a|-|2|,|4|-|di|yne"
248,71,"hepta-1,3-diyne","hept|a|-|1|,|3|-|di|yne"
249,239,"hepta-1,4-diyne","hept|a|-|1|,|4|-|di|yne"
250,200,"hepta-1,5-diyne","hept|a|-|1|,|5|-|di|yne"
251,225,"hepta-1,6-diyne","hept|a|-|1|,|6|-|di|yne"
252,92,"hepta-2,4-diyne","hept|a|-|2|,|4|-|di|yne"
253,4,"hepta-2,5-diyne","hept|a|-|2|,|5|-|di|yne"
254,122,"octa-1,3-diyne","oct|a|-|1|,|3|-|di|yne"
255,125,"octa-1,5-diyne","oct|a|-|1|,|5|-|di|yne"
256,155,"octa-1,6-diyne","oct|a|-|1|,|6|-|di|yne"
257,224,"octa-2,4-diyne","oct|a|-|2|,|4|-|di|yne"
258,56,"octa-2,5-diyne","oct|a|-|2|,|5|-|di|yne"
259,137,"octa-2,6-diyne","oct|a|-|2|,|6|-|di|yne"
260,34,"octa-3,5-diyne","oct|a|-|3|,|5|-|di|yne"
261,252,"nona-1,3-diyne","non|a|-|1|,|3|-|di|yne"
262,149,"nona-1,4-diyne","non|a|-|1|,|4|-|di|yne"
263,238,"nona-1,5-diyne","non|a|-|1|,|5|-|di|yne"
264,171,"nona-1,6-diyne","non|a|-|1|,|6|-|di|yne"
265,154,"nona-1,7-diyne","non|a|-|1|,|7|-|di|yne"
266,73,"nona-1,8-diyne","non|a|-|1|,|8|-|di|yne"
267,45,"nona-2,6-diyne","non|a|-|2|,|6|-|di|yne"
268,86,"nona-2,7-diyne","non|a|-|2|,|7|-|di|yne"
269,66,"nona-3,5-diyne","non|a|-|3|,|5|-|di|yne"
270,66,"nona-3,6-diyne","non|a|-|3|,|6|-|di|yne"
271,16,"deca-1,3-diyne","dec|a|-|1|,|3|-|di|yne"
272,168,"deca-1,4-diyne","dec|a|-|1|,|4|-|di|yne"
273,212,"deca-1,5-diyne","dec|a|-|1|,|5|-|di|yne"
274,128,"deca-1,6-diyne","dec|a|-|1|,|6|-|di|yne"
275,11,"deca-1,7-diyne","dec|a|-|1|,|7|-|di|yne"
276,250,"deca-1,8-diyne","dec|a|-|1|,|8|-|di|yne"
277,160,"deca-1,9-diyne","dec|a|-|1|,|9|-|di|yne"
278,22,"deca-2,4-diyne","dec|a|-|2|,|4|-|di|yne"
279,153,"deca-2,7-diyne","dec|a|-|2|,|7|-|di|yne"
280,98,"deca-2,8-diyne","dec|a|-|2|,|8|-|di|yne"
281,63,"deca-3,5-diyne","dec|a|-|3|,|5|-|di|yne"
282,55,"deca-3,6-diyne","dec|a|-|3|,|6|-|di|yne"
283,178,"deca-3,7-diyne","dec|a|-|3|,|7|-|di|yne"
284,35,"deca-4,6-diyne","dec|a|-|4|,|6|-|di|yne"
285,177,cyclopropyne,cyclo|prop|yne
286,30,cyclobutyne,cyclo|but|yne
287,245,cyclopentyne,cyclo|pent|yne
288,205,cyclohexyne,cyclo|hex|yne
289,152,cycloheptyne,cyclo|hept|yne
290,247,cyclooctyne,cyclo|oct|yne
291,21,cyclononyne,cyclo|non|yne
292,71,cyclodecyne,cyclo|dec|yne
293,241,benzene,benz|ene
294,28,chlorobenzene,chloro|benz|ene
295,248,nitrobenzene,nitro|benz|ene
296,116,methylbenzene,meth|yl|benz|ene
297,228,hydroxybenzene,hydroxy|benz|ene
298,227,aminobenzene,amino|benz|ene
299,69,ortho-dimethylbenzene,ortho|-|di|meth|yl|benz|ene
300,69,o-dimethylbenzene,o|-|di|meth|yl|benz|ene
301,249,m-dimethylbenzene,m|-|di|meth|yl|benz|ene
302,129,p-dimethylbenzene,p|-|di|meth|yl|benz|ene
303,85,"4-bromo-1,2-dichlorobenzene","4|-|bromo|-|1|,|2|-|di|chloro|benz|ene"
304,127,1-ethyl-2-methylbenzene,1|-|eth|yl|-|2|-|meth|yl|benz|ene
305,37,"2-ethyl-1,4-dimethylbenzene","2|-|eth|yl|-|1|,|4|-|di|meth|yl|benz|ene"
306,11,"1,3,5-trimethylbenzene","1|,|3|,|5|-|tri|meth|yl|benz|ene"
307,68,"1,4-dinitrobenzene","1|,|4|-|di|nitro|benz|ene"
308,71,"2-hydroxy-1,3-dimethylbenzene","2|-|hydroxy|-|1|,|3|-|di|meth|yl|benz|ene"
309,25,bromobenzene,bromo|benz|ene
310,238,isopropylbenzene,iso|prop|yl|benz|ene
311,54,p-diethylbenzene,p|-|di|eth|yl|benz|ene
312,54,para-diethylbenzene,para|-|di|eth|yl|benz|ene
313,13,m-difluorobenzene,m|-|di|fluoro|benz|ene
314,13,meta-difluorobenzene,meta|-|di|fluoro|benz|ene
315,101,"2,6-di-tert-butylaniline","2|,|6|-|di|-|tert-but|yl|aniline"
316,79,"1,2,4-trimethylbenzene","1|,|2|,|4|-|tri|meth|yl|benz|ene"
317,127,1-ethyl-2-methylbenzene,1|-|eth|yl|-|2|-|meth|yl|benz|ene
318,190,1-bromoethylbenzene,1|-|bromo|eth|yl|benz|ene
319,28,1-bromo-3-(trifluoromethoxy)benzene,1|-|bromo|-|3|-|(|tri|fluoro|meth|oxy|)|benz|ene
320,72,2-chloroethylbenzene,2|-|chloro|eth|yl|benz|ene
321,177,"1,2,3,4,5,6-hexadeuteriobenzene","1|,|2|,|3|,|4|,|5|,|6|-|hexa|deuterio|benz|ene"
322,174,2-bromoethoxybenzene,2|-|bromo|eth|oxy|benz|ene
323,215,3-bromopropylbenzene,3|-|bromo|prop|yl|benz|ene
324,39,1-methyl-4-propan-2-ylbenzene,1|-|meth|yl|-|4|-|prop|an|-|2|-|yl|benz|ene
325,215,"1,2-dimethoxy-4-prop-2-enylbenzene","1|,|2|-|di|meth|oxy|-|4|-|prop|-|2|-|en|yl|benz|ene"
326,191,1-bromo-4-(4-pentylcyclohexyl)benzene,1|-|bromo|-|4|-|(|4|-|pent|yl|cyclo|hex|yl|)|benz|ene
327,160,1-ethoxy-4-(4-pentylcyclohexyl)benzene,1|-|eth|oxy|-|4|-|(|4|-|pent|yl|cyclo|hex|yl|)|benz|ene
328,9,4-bromo-2-fluoro-1-(trifluoromethoxy)benzene,4|-|bromo|-|2|-|fluoro|-|1|-|(|tri|fluoro|meth|oxy|)|benz|ene
329,178,1-bromo-2-(trifluoromethoxy)benzene,1|-|bromo|-|2|-|(|tri|fluoro|meth|oxy|)|benz|ene
330,223,1-ethoxy-4-[2-(4-methylphenyl)ethynyl]benzene,1|-|eth|oxy|-|4|-|[|2|-|(|4|-|meth|yl|phen|yl|)|eth|yn|yl|]|benz|ene
331,228,1-chloro-4-(1-phenylethenyl)benzene,1|-|chloro|-|4|-|(|1|-|phen|yl|eth|en|yl|)|benz|ene
332,238,1-ethoxy-4-(4-propylcyclohexyl)benzene,1|-|eth|oxy|-|4|-|(|4|-|prop|yl|cyclo|hex|yl|)|benz|ene
333,48,1-bromo-4-(trifluoromethoxy)benzene,1|-|bromo|-|4|-|(|tri|fluoro|meth|oxy|)|benz|ene
